receive_ts;price_median
1716810808593627;0.00000000
1716810808594127;68468.14325063
1716810808594627;68481.88796603
1716810808596127;68477.92854827
1716810808596627;68480.90262147
1716810808598127;68482.65749529
1716810808598627;68481.07808019
1716810808599627;68479.54318538
1716810808600127;68481.01642302
1716810808601627;68482.27224605
1716810808602127;68483.41186296
1716810808603627;68484.38455285
1716810808604627;68483.63195513
1716810808605627;68482.92575545
1716810808606627;68482.27169837
1716810808608127;68481.67006273
1716810808610127;68481.15590170
1716810808610627;68481.67492669
1716810808611627;68482.16569160
1716810808612127;68482.64274851
1716810808614127;68483.04895062
1716810808616627;68482.67011651
1716810808617627;68483.04895062
1716810808618127;68483.41613941
1716810808620127;68483.74598270
1716810808620627;68484.06059310
1716810808623627;68483.79709846
1716810808624627;68483.54060021
1716810808626627;68483.29361661
1716810808627627;68483.04807695
1716810808629627;68482.82406589
1716810808630127;68483.04807695
1716810808631627;68483.27171262
1716810808632127;68483.05210385
1716810808632627;68482.83952338
1716810808633627;68482.62906900
1716810808634127;68482.41762922
1716810808634627;68482.20876989
1716810808637627;68482.01165890
1716810808641627;68481.83687979
1716810808642127;68481.66152541
1716810808645627;68481.82841310
1716810808646627;68481.66628653
1716810808647627;68481.82700696
1716810808648127;68481.66882185
1716810808654627;68481.52388038
1716810808656627;68481.66173821
1716810808657627;68481.52569092
1716810808658127;68481.38936826
1716810808660627;68481.52232745
1716810808661627;68481.65462834
1716810808662627;68481.78317931
1716810808665627;68481.65832130
1716810808666127;68481.53459881
1716810808666627;68481.41310555
1716810808667627;68481.53348399
1716810808673627;68481.64839612
1716810808675627;68481.53470834
1716810808679627;68481.64645458
1716810808685627;68481.53839108
1716810808689627;68481.43293947
1716810808691627;68481.32919213
1716810808697627;68481.22986068
1716810808709627;68481.13595005
1716810808717627;68481.22531970
1716810808727627;68481.14117266
1716810808731627;68481.05886078
1716810808733627;68481.14050354
1716810808735627;68481.06020980
1716810808739627;68481.13950524
1716810808743627;68481.06205606
1716810808745627;68480.98440037
1716810808747627;68481.06112114
1716810808751627;68480.98539749
1716810808753627;68481.06010667
1716810808755627;68481.13375727
1716810808761627;68481.06054165
1716810808769627;68480.98904767
1716810808775627;68480.91862748
1716810808781627;68480.98786528
1716810808783627;68480.91855718
1716810808785627;68480.98737973
1716810808789627;68481.05510206
